metric_scope,baseline_model,target_dataset,target_metric,unit,decision_minute,horizon_bucket,issue_count,n,mae,rmse,wape_pct,smape_pct,bias,mean_pinball_loss,q10_q90_coverage_pct,q10_q90_mean_width
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,18-24h,333,11988,0.02998761,0.03789205,6.70720281,6.88990808,0.00037068,0.01254973,43.20153487,0.04252506
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,0-6h,334,12024,0.04879781,0.06652116,5.92302703,6.77418302,-0.00017846,0.02152100,31.17930805,0.04471078
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,6-12h,334,12024,0.04159094,0.06305334,4.50184056,5.15949876,-0.00019186,0.01808397,38.54790419,0.04425844
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,12-18h,333,11988,0.03001849,0.03793393,6.71411099,6.89666702,0.00006703,0.01254220,43.43510177,0.04319450
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,18-24h,333,11988,0.05071518,0.06779762,6.06847548,7.17151507,0.00038305,0.02233258,29.84651318,0.04669756
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,0-6h,334,12024,0.04166963,0.06336166,4.51035726,5.17039904,0.00006473,0.01822383,36.70991351,0.04220458
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,6-12h,333,11988,0.03005119,0.03798655,6.72142404,6.90431743,0.00000414,0.01256258,43.05138472,0.04307766
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,12-18h,333,11988,0.05054737,0.06754207,6.04839563,7.14847728,0.00033956,0.02225523,30.15515516,0.04685653
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,18-24h,333,11988,0.04955524,0.06753809,6.01199164,6.96756218,0.00016528,0.02172092,33.36670003,0.04824770
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,0,0-6h,334,12024,323.96650746,448.95712676,9.17880407,9.46035553,77.69824995,128.89221239,80.31437126,983.58154559
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,0,6-12h,334,12024,843.69515910,1182.89932941,15.65815867,17.09212401,166.86701262,348.27512233,68.04723886,1598.62537856
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,0,12-18h,334,12024,914.24057534,1329.89918888,16.40530747,18.26100820,216.09267257,381.58218140,71.94777112,1817.08336872
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,0,18-24h,334,12024,594.38448907,760.33987672,14.94723940,15.67526069,-18.16103766,236.80258220,77.05422488,1711.56911756
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,360,0-6h,334,12024,356.00099613,520.98784193,6.60703102,7.13361771,-3.06266893,139.50719164,87.30871590,1374.95800864
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,360,6-12h,334,12024,565.27979300,892.62787625,10.14348855,11.42743507,54.19676283,224.87872480,80.85495675,1693.45853167
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,360,12-18h,334,12024,406.62526500,515.55506939,10.22557838,10.87717051,21.51909363,162.05382115,89.91184298,1792.29642727
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,360,18-24h,333,11988,429.58155627,587.49926652,12.16410732,12.50063099,130.54059858,189.30984130,81.83183183,1794.14133740
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,720,0-6h,334,12024,246.58389183,375.10804314,4.42474844,5.03879482,40.69337780,99.37977246,88.75582169,1005.35192485
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,720,6-12h,334,12024,294.94366734,367.78691350,7.41707377,8.01514109,40.15247734,118.98651633,92.98902196,1410.11968188
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,720,12-18h,333,11988,382.18969564,532.88684869,10.82215102,11.17715940,78.36780876,169.39100846,80.82248916,1581.93956432
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,720,18-24h,333,11988,919.75256817,1322.06486196,17.05488635,18.68484548,122.26601383,378.77526959,71.73840507,1984.51271737
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,1080,0-6h,334,12024,229.83309693,295.29172867,5.77971058,5.94770690,-82.26503635,92.44081835,90.34431138,1029.94896458
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,1080,6-12h,333,11988,433.43543350,593.36303248,12.27323439,12.74045605,43.76574370,186.94661904,73.07307307,1351.55147785
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,1080,12-18h,333,11988,879.91131150,1293.97302734,16.31611363,17.91831483,31.50949787,370.27619089,69.90323657,1764.87713041
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,1080,18-24h,333,11988,1019.00578978,1432.14359038,18.26389300,20.34729426,48.00400212,424.47686919,69.46112779,1999.87768113
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,0,0-6h,334,12024,12.19811197,41.90260945,38.89744484,84.47576867,-0.54115544,5.71637288,98.37824351,102.62501423
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,0,6-12h,334,12024,363.99972464,488.61993614,7.52871139,17.16687421,-126.10132581,145.63574958,76.16433799,1145.28328062
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,0,12-18h,334,12024,392.74413579,511.64065638,8.48301853,24.90598159,-237.57977646,156.34548081,78.30172987,1322.00474471
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,0,18-24h,334,12024,18.98815027,54.14534566,97.55154235,146.51344878,0.55224648,7.74052473,68.21357285,93.61482198
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,360,0-6h,334,12024,333.92892208,463.04987134,6.90674830,14.17553216,-97.30980945,134.65451898,76.93779108,1022.67116771
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,360,6-12h,334,12024,515.30627955,658.72517806,11.13028132,34.00480682,-393.97189826,195.09641794,67.68130406,1158.10910526
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,360,12-18h,334,12024,23.35106773,87.93953919,119.96601249,148.32316410,-8.51627463,8.52452045,77.94411178,61.44117566
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,360,18-24h,333,11988,41.34082666,90.67092217,131.43339473,188.86675662,40.96125479,16.58592378,72.07207207,177.43282110
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,720,0-6h,334,12024,419.04239425,542.34178639,9.05104385,26.79447070,-321.38377228,159.27600694,71.45708583,1103.52583512
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,720,6-12h,334,12024,25.74277444,90.95683044,132.25339564,180.77729265,-6.81817116,8.97393126,79.62408516,79.94515431
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,720,12-18h,333,11988,31.53699294,57.50080514,100.26442084,183.74963997,27.23382165,13.50403499,73.14814815,131.91186048
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,720,18-24h,333,11988,353.18241545,482.65828547,7.29940858,16.09102589,-121.36995741,144.44022511,80.38038038,1273.15787225
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,1080,0-6h,334,12024,15.42740460,23.73838912,79.25822637,183.07215731,13.78888980,6.35732090,74.93346640,73.30556399
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,1080,6-12h,333,11988,30.99727997,56.99082262,98.54853090,176.24164713,24.64970443,12.85954646,76.31798465,136.87164765
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,1080,12-18h,333,11988,345.83366071,470.05722864,7.14752796,16.39947651,-60.84385768,139.78321458,79.17083750,1223.73164610
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,1080,18-24h,333,11988,356.44347194,476.47228468,7.69271429,20.67829467,-181.92561566,148.60697517,83.45845846,1467.87183957
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,0-6h,334,12024,0.04989749,0.06358438,11.16577923,11.47121719,-0.01030663,0.01945592,83.11709914,0.17894575
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,6-12h,334,12024,0.12266966,0.15045896,14.68218724,16.75878791,-0.04787048,0.04836853,60.62042582,0.27187038
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,12-18h,334,12024,0.11820244,0.14903435,14.34728743,16.24958779,-0.00605833,0.04674542,70.33433134,0.31231908
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,18-24h,334,12024,0.07432360,0.09451851,8.04485222,9.62392708,0.01679531,0.02930800,86.06121091,0.28932740
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,0-6h,334,12024,0.09058547,0.11699109,10.84206755,12.75020078,-0.03099561,0.03573225,69.16999335,0.22711501
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,6-12h,334,12024,0.09377732,0.12028828,11.38259176,13.10115996,0.00639802,0.03712687,77.23719228,0.30399601
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,12-18h,334,12024,0.06497839,0.08189653,7.03331855,8.64970243,0.00066185,0.02646836,95.00166334,0.32416017
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,18-24h,333,11988,0.05430321,0.07021267,12.14577405,12.12215052,0.01863885,0.02305570,92.60093427,0.28613492
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,0-6h,334,12024,0.06435882,0.08122521,7.81180632,8.68634775,0.02834411,0.02510666,85.63705921,0.24218604
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,6-12h,334,12024,0.05615331,0.07183897,6.07808403,7.90073813,0.01864530,0.02275291,94.45276114,0.27616875
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,12-18h,333,11988,0.05943524,0.07579367,13.29363372,13.17973040,0.01774188,0.02420098,90.19853187,0.27548680
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,18-24h,333,11988,0.11023859,0.14402996,13.19092504,15.37860100,-0.02348713,0.04471744,73.44010677,0.32761952
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,0-6h,334,12024,0.04810448,0.06220680,5.20687148,6.92373977,-0.01512826,0.01927651,90.62707917,0.21248489
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,6-12h,333,11988,0.06684605,0.08525766,14.95117881,15.81388555,-0.02057948,0.02640002,81.28128128,0.23968844
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,12-18h,333,11988,0.11934494,0.15450099,14.28057139,16.68542918,-0.04260059,0.04860859,65.71571572,0.28636188
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,18-24h,333,11988,0.11884362,0.15584005,14.41798662,16.37069258,-0.00041221,0.04837310,70.31197865,0.30623652
