series,model,month,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
PV,B1,2025-09,4320,201.445231088,2607.59950609,2415,360.336591056,405.867515791,0.0772531328594,201.445231088,True
PV,B1,2025-10,4464,155.716809095,2364.31305177,2321,299.483310513,321.473089781,0.0658613329476,155.716809095,True
PV,B1,2025-11,4320,111.534495579,1854.3763356,2095,229.983423628,234.52330305,0.0601466344438,111.534495579,True
PV,B1,2025-12,4464,99.6995128584,1513.83689588,2097,212.234030949,215.549528626,0.0658588208082,99.6995128584,True
PV,B2,2025-02,4032,159.715621974,1966.48034665,2036,316.240530992,313.345008641,0.0812190278159,159.715621974,True
PV,B2,2025-03,4464,217.838987858,2304.19675553,2426,400.788946908,415.78369707,0.0945400983381,217.838987858,True
PV,B2,2025-04,4320,214.554059444,2701.68568933,2526,366.899179929,404.376889165,0.0794148854147,214.554059444,True
PV,B2,2025-05,4464,258.715462254,2806.50239655,2747,420.403865162,470.160304417,0.0921843012041,258.715462254,True
PV,B2,2025-06,4320,301.939918032,2369.8265653,2765,471.746996709,576.728745116,0.127410133068,301.939918032,True
PV,B2,2025-07,4464,258.072058781,2723.254275,2784,413.705445654,488.518014828,0.0947660529355,258.072058781,True
PV,B2,2025-08,4464,262.476105556,2915.99309299,2668,438.767218291,486.666691069,0.090012595087,262.476105556,True
PV,B2,2025-09,4320,221.44053838,2607.59950609,2415,395.386548323,408.275161101,0.0849212227041,221.44053838,True
PV,B2,2025-10,4464,205.343073589,2364.31305177,2321,394.17963701,395.879483105,0.0868510510632,205.343073589,True
PV,B2,2025-11,4320,149.21124956,1854.3763356,2095,307.382024057,306.371577047,0.0804643840064,149.21124956,True
PV,B2,2025-12,4464,107.859437858,1513.83689588,2097,229.475095851,230.200631671,0.071249048132,107.859437858,True
PV,B3,2025-02,4032,116.568321475,1966.48034665,2036,230.82264553,231.344148536,0.0592776437726,116.568321475,True
PV,B3,2025-03,4464,161.254481423,2304.19675553,2426,296.694896973,310.605666521,0.0699829478692,161.254481423,True
PV,B3,2025-04,4320,172.68998585,2701.68568933,2526,295.320826835,330.949653785,0.0639193472919,172.68998585,True
PV,B3,2025-05,4464,179.591938377,2806.50239655,2747,291.837873025,330.510268598,0.0639913718219,179.591938377,True
PV,B3,2025-06,4320,207.311315235,2369.8265653,2765,323.900498998,399.402538106,0.0874795304729,207.311315235,True
PV,B3,2025-07,4464,181.134195974,2723.254275,2784,290.393556881,340.392289022,0.0665138755631,181.134195974,True
PV,B3,2025-08,4464,189.730214734,2915.99309299,2668,317.291726119,355.311148958,0.0650653855079,189.730214734,True
PV,B3,2025-09,4320,154.829997414,2607.59950609,2415,276.669410772,294.766447096,0.0593764483589,154.829997414,True
PV,B3,2025-10,4464,144.342851494,2364.31305177,2321,277.320906881,294.0295189,0.0610506512183,144.342851494,True
PV,B3,2025-11,4320,101.670740043,1854.3763356,2095,209.529218848,207.072834967,0.0548274576692,101.670740043,True
PV,B3,2025-12,4464,75.4472176299,1513.83689588,2097,160.559696096,161.878973206,0.0498384058648,75.4472176299,True
PV,B4,2025-02,4032,320.483162305,1966.48034665,2036,634.634939601,548.508389908,0.162972980051,320.483162305,True
PV,B4,2025-03,4464,480.464484199,2304.19675553,2426,884.067328104,765.900918097,0.208517125565,480.464484199,True
PV,B4,2025-04,4320,678.59145925,2701.68568933,2526,1160.52553523,1008.79297979,0.251173355187,678.59145925,True
PV,B4,2025-05,4464,615.206630787,2806.50239655,2747,999.730495564,900.759886975,0.219207591465,615.206630787,True
PV,B4,2025-06,4320,330.272236589,2369.8265653,2765,516.006926997,517.262612549,0.139365572749,330.272236589,True
PV,B4,2025-07,4464,419.826626599,2723.254275,2784,673.080540136,631.170390602,0.154163579381,419.826626599,True
PV,B4,2025-08,4464,539.187558885,2915.99309299,2668,899.217931572,836.796750309,0.184907008244,539.187558885,True
PV,B4,2025-09,4320,285.040186266,2607.59950609,2415,492.72766303,502.520685246,0.109311336193,285.040186266,True
PV,B4,2025-10,4464,319.27153131,2364.31305177,2321,562.187495566,516.173516522,0.13503775698,319.27153131,True
PV,B4,2025-11,4320,568.190829968,1854.3763356,2095,1074.76894862,842.203233692,0.306405349906,568.190829968,True
PV,B4,2025-12,4464,842.24497118,1513.83689588,2097,1650.84087841,1212.07913036,0.556364409847,842.24497118,True
