series,model,horizon_step,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
Load,B0,35,334,494.359103293,3784.61948114,0,,578.11057751,0.130623198913,,True
Load,B0,36,334,989.325419162,4359.2808982,0,,1137.75456755,0.226946930529,,True
Load,B0,37,334,1049.62306108,4413.70009461,0,,1203.17648788,0.237810235988,,True
Load,B0,38,334,963.10018982,4330.21665329,0,,1112.76016875,0.222413857535,,True
Load,B0,39,334,978.467005988,4350.3798503,0,,1137.82063613,0.224915303872,,True
Load,B0,40,334,978.893067365,4339.86303683,0,,1137.65894788,0.225558516262,,True
Load,B0,41,334,997.576731138,4391.86301856,0,,1138.74859228,0.227142041298,,True
Load,B0,42,334,1046.42646707,4484.03997006,0,,1171.66699803,0.23336689103,,True
Load,B0,43,334,1044.55692305,4481.80608892,0,,1167.69933174,0.233066068083,,True
Load,B0,44,334,1065.5133024,4499.83665749,0,,1195.37770551,0.236789328924,,True
Load,B0,45,334,1045.09931138,4477.67688623,0,,1171.47949764,0.233402127472,,True
Load,B0,46,334,913.684991317,4341.91077994,0,,1036.9421243,0.21043384759,,True
Load,B0,47,334,1436.18993353,4868.00004731,0,,1592.4103942,0.295026688491,,True
Load,B0,48,334,2314.50787425,5752.92802395,0,,2592.49329596,0.402318239445,,True
Load,B0,49,334,2404.64574431,5840.44940359,0,,2696.52197844,0.411722725109,,True
Load,B0,50,334,2272.95509042,5706.23317006,0,,2544.76927716,0.398328463398,,True
Load,B0,51,334,2297.59616766,5725.10296407,0,,2575.3185617,0.401319623784,,True
Load,B0,52,334,2285.25478263,5706.07145868,0,,2566.7090612,0.40049529684,,True
Load,B0,53,334,2329.45907365,5776.49677365,0,,2569.6988956,0.403265017697,,True
Load,B0,54,334,2456.91592814,5910.29655689,0,,2623.18392323,0.415700955865,,True
Load,B0,55,334,2461.29977006,5914.6803988,0,,2623.36194493,0.416134026542,,True
Load,B0,56,334,2432.30650898,5885.68713772,0,,2603.8023845,0.413257866425,,True
Load,B0,57,334,2428.64209581,5882.02272455,0,,2594.01099646,0.412892334753,,True
Load,B0,58,334,2411.88687006,5865.2674988,0,,2577.82176844,0.411215152685,,True
Load,B0,59,334,2402.52390359,5855.90453234,0,,2570.4748187,0.410273748543,,True
Load,B0,60,334,2407.15556886,5860.5361976,0,,2574.1188843,0.410739817603,,True
Load,B0,61,334,2406.32988563,5859.71051437,0,,2574.1071656,0.410656785813,,True
Load,B0,62,334,2395.9253982,5849.30602695,0,,2562.24277234,0.409608488112,,True
Load,B0,63,334,2380.34077844,5833.71685629,0,,2542.95593973,0.408031592393,,True
Load,B0,64,334,2366.74334731,5820.12397605,0,,2527.56174082,0.406648270216,,True
Load,B0,65,334,2356.16943293,5809.55006168,0,,2518.34549452,0.405568315604,,True
Load,B0,66,334,2350.65422156,5804.0348503,0,,2513.88229836,0.405003464346,,True
Load,B0,67,334,2349.8046976,5803.18532635,0,,2510.4871307,0.404916363249,,True
Load,B0,68,334,2335.04246886,5788.4230976,0,,2495.4666219,0.403398720081,,True
Load,B0,69,334,2327.88502994,5781.26565868,0,,2492.20077925,0.402660103751,,True
Load,B0,70,334,2346.12583473,5799.50646347,0,,2510.27804084,0.40453887749,,True
Load,B0,71,334,2226.06497814,5679.44560689,0,,2372.83863754,0.391951104426,,True
Load,B0,72,334,2033.09916168,5486.47979042,0,,2156.95174371,0.370565324095,,True
