phase,series,seed,seq_len,training_cutoff,raw_points,available_days,window_count,effective_day_cycles,training_start,training_end,last_window_target_end,last_window_target_available_rank,scaler_fit_end,scaler_fit_rank,training_data_hash,scaler_data_hash,checkpoint_path,checkpoint_sha256,parameter_count,best_epoch,training_seconds
controlled_low_data,Load,2026,1008,2025-09-23T00:00:00,2016,14,865,14,2025-09-09T00:00:00,2025-09-23T00:00:00,2025-09-23T00:00:00,0,2025-09-23T00:00:00,0,17c60551f4f4d1b3963a4f0bbaca8585be9f41b13b9e055014caaadbab0cd701,17c60551f4f4d1b3963a4f0bbaca8585be9f41b13b9e055014caaadbab0cd701,artifacts\dlinear\checkpoints\low_Load_autumn_N14.pt,bbbd4d4207b108acd2e9fd95c148280b4d6e43d289bc9fec5229fe637c66e224,290592,49,0.9255647999962093
controlled_low_data,Load,2026,1008,2025-09-23T00:00:00,25920,180,24769,180,2025-03-27T00:00:00,2025-09-23T00:00:00,2025-09-23T00:00:00,0,2025-09-23T00:00:00,0,de62a915c97acd1fb6b16eae6f4083a0cae8a50e98c895670ed1d83ecf5a53c3,de62a915c97acd1fb6b16eae6f4083a0cae8a50e98c895670ed1d83ecf5a53c3,artifacts\dlinear\checkpoints\low_Load_autumn_N180.pt,e7dd41668cc80947c62f0f1915a06cffdbbb4342d298132fd7fbef0cb296c1ac,290592,49,18.87943099999393
controlled_low_data,Load,2026,1008,2025-09-23T00:00:00,4320,30,3169,30,2025-08-24T00:00:00,2025-09-23T00:00:00,2025-09-23T00:00:00,0,2025-09-23T00:00:00,0,afc21ff26e5e4055b52b271f3ad97f022328051c5aeb9b7da9559ce98c76f1b0,afc21ff26e5e4055b52b271f3ad97f022328051c5aeb9b7da9559ce98c76f1b0,artifacts\dlinear\checkpoints\low_Load_autumn_N30.pt,10572ee117953dac5f8ea7e86ed17c5e6b8d8278a88e58d020fef28e58985ab1,290592,49,2.5601605999981984
controlled_low_data,Load,2026,1008,2025-09-23T00:00:00,8640,60,7489,60,2025-07-25T00:00:00,2025-09-23T00:00:00,2025-09-23T00:00:00,0,2025-09-23T00:00:00,0,d0d3f19bfd52f1ff07c3a323c009141d75835f3f1f980e1d0447aa74400af573,d0d3f19bfd52f1ff07c3a323c009141d75835f3f1f980e1d0447aa74400af573,artifacts\dlinear\checkpoints\low_Load_autumn_N60.pt,1d22393ab13b6c15ef877f9bdf42b1803b9ebf6d6443140798888240568641f8,290592,49,5.884982899995521
controlled_low_data,Load,2026,1008,2025-09-23T00:00:00,12960,90,11809,90,2025-06-25T00:00:00,2025-09-23T00:00:00,2025-09-23T00:00:00,0,2025-09-23T00:00:00,0,0efedf16afdf3d9adf617a596382e75018c67fe71b32fda9fd038d1d16cc656e,0efedf16afdf3d9adf617a596382e75018c67fe71b32fda9fd038d1d16cc656e,artifacts\dlinear\checkpoints\low_Load_autumn_N90.pt,bca23e2fbca27a01ff00405711d64ee82632ba927ff211b38df2051a19394893,290592,49,9.211143499996979
controlled_low_data,Load,2026,1008,2025-03-20T00:00:00,2016,14,865,14,2025-03-06T00:00:00,2025-03-20T00:00:00,2025-03-20T00:00:00,0,2025-03-20T00:00:00,0,f2b4df5a547212365444685f7c646aa7e405bbb01c749446bfb91bf77d00b5d6,f2b4df5a547212365444685f7c646aa7e405bbb01c749446bfb91bf77d00b5d6,artifacts\dlinear\checkpoints\low_Load_spring_N14.pt,fd4a8c134ab2ceda24b5686e3d47e7a650d4d6e17eb69647e9e5555871539450,290592,49,0.8266837999981362
controlled_low_data,Load,2026,1008,2025-03-20T00:00:00,4320,30,3169,30,2025-02-18T00:00:00,2025-03-20T00:00:00,2025-03-20T00:00:00,0,2025-03-20T00:00:00,0,8e64d39756fab7a94f593b120808df9e52b5a81d1a467756e4b290dab60d0695,8e64d39756fab7a94f593b120808df9e52b5a81d1a467756e4b290dab60d0695,artifacts\dlinear\checkpoints\low_Load_spring_N30.pt,46660b840135dff9d59a93145442bc83b8a910f5ab8e0d63efc8818079924247,290592,49,2.5127848999982234
controlled_low_data,Load,2026,1008,2025-03-20T00:00:00,8640,60,7489,60,2025-01-19T00:00:00,2025-03-20T00:00:00,2025-03-20T00:00:00,0,2025-03-20T00:00:00,0,b3952dacda455f63b2c13396f913b3385597258bb05e5df91a9e4fb168d64500,b3952dacda455f63b2c13396f913b3385597258bb05e5df91a9e4fb168d64500,artifacts\dlinear\checkpoints\low_Load_spring_N60.pt,0ad187c08d21edca37b9db3218b8d708eb6718f5efbbed3775373e07c3087650,290592,49,5.679469300011988
controlled_low_data,Load,2026,1008,2025-06-21T00:00:00,2016,14,865,14,2025-06-07T00:00:00,2025-06-21T00:00:00,2025-06-21T00:00:00,0,2025-06-21T00:00:00,0,56533f5ecb61303a3124617ae26dc3d72a48a4f7f47212771af757f59b5c7e7e,56533f5ecb61303a3124617ae26dc3d72a48a4f7f47212771af757f59b5c7e7e,artifacts\dlinear\checkpoints\low_Load_summer_N14.pt,10b8fd319806d725a6b45f2362710105cd794aa4e8450b0fe53d4a35ef214f2b,290592,49,0.8872214000002714
controlled_low_data,Load,2026,1008,2025-06-21T00:00:00,4320,30,3169,30,2025-05-22T00:00:00,2025-06-21T00:00:00,2025-06-21T00:00:00,0,2025-06-21T00:00:00,0,3d82c2896fb1f9c43833f530effdc2bb6100d960e313c8e5e211a398d04c5be2,3d82c2896fb1f9c43833f530effdc2bb6100d960e313c8e5e211a398d04c5be2,artifacts\dlinear\checkpoints\low_Load_summer_N30.pt,9162a55e851967ca2c34cf0fb0d0b6ae0bd2e405ec18f1a3a24c6b242555ceea,290592,49,2.5921120999992127
controlled_low_data,Load,2026,1008,2025-06-21T00:00:00,8640,60,7489,60,2025-04-22T00:00:00,2025-06-21T00:00:00,2025-06-21T00:00:00,0,2025-06-21T00:00:00,0,8dafd974f9ea2380eb7b5d2b9ca14c5167fcd11dd84ed30760c24bc29d45892c,8dafd974f9ea2380eb7b5d2b9ca14c5167fcd11dd84ed30760c24bc29d45892c,artifacts\dlinear\checkpoints\low_Load_summer_N60.pt,6ba04330a35c21cfe1d010447df40d78506b2457384594d740728f94ebed0286,290592,49,5.887432300005457
controlled_low_data,Load,2026,1008,2025-06-21T00:00:00,12960,90,11809,90,2025-03-23T00:00:00,2025-06-21T00:00:00,2025-06-21T00:00:00,0,2025-06-21T00:00:00,0,c389191644faec8d940ce5ace35768e8326d58e0a0b746eaf903d0774eb99af0,c389191644faec8d940ce5ace35768e8326d58e0a0b746eaf903d0774eb99af0,artifacts\dlinear\checkpoints\low_Load_summer_N90.pt,860d8567d584587ac18ebecf5175e13c8e9849a99352b3992e61689cf50bd827,290592,49,9.032242100001895
controlled_low_data,Load,2026,1008,2025-12-21T00:00:00,2016,14,865,14,2025-12-07T00:00:00,2025-12-21T00:00:00,2025-12-21T00:00:00,0,2025-12-21T00:00:00,0,9a5938d46fc9408f4f35eeda05b51f5ae3e4f62d15b76357bd9d81ccc54819c5,9a5938d46fc9408f4f35eeda05b51f5ae3e4f62d15b76357bd9d81ccc54819c5,artifacts\dlinear\checkpoints\low_Load_winter_N14.pt,92dcda4404484848ba7911e10c747bbf170a3c28e6247d4f602e37575004f491,290592,49,0.7571520999917993
controlled_low_data,Load,2026,1008,2025-12-21T00:00:00,25920,180,24769,180,2025-06-24T00:00:00,2025-12-21T00:00:00,2025-12-21T00:00:00,0,2025-12-21T00:00:00,0,a206790fc012c2f55c48158b9fe7728df8216d7a5a4b5596a9e466ea37de7a7c,a206790fc012c2f55c48158b9fe7728df8216d7a5a4b5596a9e466ea37de7a7c,artifacts\dlinear\checkpoints\low_Load_winter_N180.pt,1770435c421b36573033bc6942b77f6e300788a6dd750c06cbaf9ad3208b4f52,290592,49,18.857927999997628
controlled_low_data,Load,2026,1008,2025-12-21T00:00:00,4320,30,3169,30,2025-11-21T00:00:00,2025-12-21T00:00:00,2025-12-21T00:00:00,0,2025-12-21T00:00:00,0,e6ad0cb0d9c6ba717909242b61a5d3bb46e7e57ca4951ef2619b81e7fcbde8cf,e6ad0cb0d9c6ba717909242b61a5d3bb46e7e57ca4951ef2619b81e7fcbde8cf,artifacts\dlinear\checkpoints\low_Load_winter_N30.pt,6dcfbc5ebedf659c60bd490121ed382768e749da00e45ca32b7cc8d883b89136,290592,49,2.2622346999996807
controlled_low_data,Load,2026,1008,2025-12-21T00:00:00,8640,60,7489,60,2025-10-22T00:00:00,2025-12-21T00:00:00,2025-12-21T00:00:00,0,2025-12-21T00:00:00,0,081e7040c67eb104cf8af5d919833c0d29d27623898db424573415f536ad926b,081e7040c67eb104cf8af5d919833c0d29d27623898db424573415f536ad926b,artifacts\dlinear\checkpoints\low_Load_winter_N60.pt,8ff93af8aa421562467dccecedb6382f12cf2723beb2c55ad09507125d6ab48f,290592,49,5.385936299993773
controlled_low_data,Load,2026,1008,2025-12-21T00:00:00,12960,90,11809,90,2025-09-22T00:00:00,2025-12-21T00:00:00,2025-12-21T00:00:00,0,2025-12-21T00:00:00,0,b6297fd540533e24b2d6feb5b5629adf025fbcb75e7baf8221a0791fe460b131,b6297fd540533e24b2d6feb5b5629adf025fbcb75e7baf8221a0791fe460b131,artifacts\dlinear\checkpoints\low_Load_winter_N90.pt,f54a5c948f2d01e1612a1f0d19aebdfc27412e3e088f597eedf8045c64adfb5e,290592,49,8.461480600002687
