series,model_dlinear,n_dlinear,mae_kw_dlinear,mean_abs_actual_kw_dlinear,daylight_n_dlinear,daylight_mae_kw_dlinear,rmse_kw_dlinear,nmae_dlinear,all_day_mae_kw_dlinear,nmae_defined_dlinear,model_baseline,n_baseline,mae_kw_baseline,mean_abs_actual_kw_baseline,daylight_n_baseline,daylight_mae_kw_baseline,rmse_kw_baseline,nmae_baseline,all_day_mae_kw_baseline,nmae_defined_baseline,absolute_improvement_kw,relative_improvement_pct,scope,month,horizon_step,history_size_group
PV,DLinear,334,76.1228242220094,0.0,0,,88.80153123199295,,76.1228242220094,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-76.1228242220094,,horizon,,21.0,
PV,DLinear,334,78.93897000270445,0.003340718562874251,86,74.59967289074903,91.67477719597277,23629.338574030553,78.93897000270445,True,B3,334,0.000846449957228,0.00334071856287,86,0.00294568106312,0.00186681727045,0.253373620465,0.000846449957228,True,-78.93812355274723,-9325787.41113746,horizon,,22.0,
PV,DLinear,334,80.61593965197707,0.0012862275449101795,51,100.08413035566471,93.73776349894814,62676.26593054084,80.61593965197707,True,B3,334,0.000924807527801,0.00128622754491,51,0.00475238095238,0.00254685266781,0.719007714818,0.000924807527801,True,-80.61501484444928,-8716950.546037944,horizon,,23.0,
PV,DLinear,334,80.81836398597395,0.0,0,,94.04030017604018,,80.81836398597395,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-80.81836398597395,,horizon,,24.0,
PV,DLinear,334,80.06378338873077,0.046999101796407185,120,80.20953202736933,93.56747880604641,1703.517308385055,80.06378338873077,True,B3,334,0.0118972626176,0.0469991017964,120,0.0309554761905,0.025808657144,0.253138084833,0.0118972626176,True,-80.05188612611317,-672859.7047836018,horizon,,25.0,
PV,DLinear,334,78.22796378757073,0.018364670658682636,84,94.19455131478954,91.8981562594633,4259.698703095735,78.22796378757073,True,B3,334,0.012981094953,0.0183646706587,84,0.0423818027211,0.0353826900645,0.706851497324,0.012981094953,True,-78.21498269261772,-602529.9327661248,horizon,,26.0,
PV,DLinear,334,76.51931149976099,0.0,0,,90.99605470626867,,76.51931149976099,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-76.51931149976099,,horizon,,27.0,
PV,DLinear,334,75.4143519023639,0.6549850299401198,153,81.95053737484648,90.7797354133153,115.13904662715491,75.4143519023639,True,B3,334,0.165833875107,0.65498502994,153,0.338940429505,0.359471613674,0.253187275322,0.165833875107,True,-75.2485180272569,-45375.84252837652,horizon,,28.0,
PV,DLinear,334,78.63777515002857,0.2562559880239521,113,83.43484217069562,95.23467889725993,306.8719515841259,78.63777515002857,True,B3,334,0.180888708298,0.256255988024,113,0.440581415929,0.492782026762,0.705890659151,0.180888708298,True,-78.45688644173057,-43373.01492168267,horizon,,29.0,
PV,DLinear,334,87.80831395181035,0.3152694610778443,20,194.83090800845,108.67193691477651,278.51829876452666,87.80831395181035,True,B3,334,0.203378956373,0.315269461078,20,2.88321428571,0.832567321262,0.645095645095,0.203378956373,True,-87.60493499543735,-43074.72934159845,horizon,,30.0,
PV,DLinear,334,85.37314640717425,20.411647305389224,201,90.30419416799754,108.50173081665983,4.182570134093657,85.37314640717425,True,B3,334,4.36445530368,20.4116473054,201,6.83206496091,9.70511025129,0.213821806657,4.36445530368,True,-81.00869110349424,-1856.1008297000942,horizon,,31.0,
PV,DLinear,334,77.25117791367317,59.52477455089821,201,95.80385352386907,100.83561811140001,1.2977987484457845,77.25117791367317,True,B3,334,9.97460085543,59.5247745509,201,16.2746530917,19.6434594004,0.167570577641,9.97460085543,True,-67.27657705824318,-674.4788892642152,horizon,,32.0,
PV,DLinear,334,73.66183623200584,119.08596556886228,119,108.49968009809999,92.08765375628701,0.6185601794479332,73.66183623200584,True,B3,334,16.6592386655,119.085965569,119,45.49992497,32.1257863753,0.139892543894,16.6592386655,True,-57.00259756650584,-342.1680828941711,horizon,,33.0,
PV,DLinear,334,75.33573326676935,201.2523026946108,247,78.3151309775586,91.90759144949018,0.37433476416459766,75.33573326676935,True,B3,334,26.0350420873,201.252302695,247,34.6308766339,44.839348013,0.129365188565,26.0350420873,True,-49.300691179469354,-189.36282497318655,horizon,,34.0,
PV,DLinear,334,87.32270722473584,302.7644571856287,234,94.85958008209188,104.79494232082287,0.2884179604054289,87.32270722473584,True,B3,334,35.9016203593,302.764457186,234,50.9083706349,59.133665277,0.118579375839,35.9016203593,True,-51.42108686543584,-143.22776061586774,horizon,,35.0,
PV,DLinear,334,106.82454293648878,424.6123877245509,182,107.49931115415383,126.38137014669654,0.25158131515886584,106.82454293648878,True,B3,334,46.9954234389,424.612387725,182,85.3463795134,74.6132001736,0.110678408821,46.9954234389,True,-59.829119497588785,-127.30839541295806,horizon,,36.0,
PV,DLinear,334,125.03261200339759,569.6528290419162,278,116.61771915305214,148.93802985443457,0.21948914431564673,125.03261200339759,True,B3,334,58.4076569717,569.652829042,278,69.6537779547,88.3606991384,0.102532023004,58.4076569717,True,-66.6249550316976,-114.06887125086884,horizon,,37.0,
PV,DLinear,334,144.83505335326473,735.0893826347306,265,147.22887499318801,175.37961237459788,0.1970305336667255,144.83505335326473,True,B3,334,72.8001020957,735.089382635,265,91.4275897573,104.92099364,0.0990357143165,72.8001020957,True,-72.03495125756473,-98.94897010291355,horizon,,38.0,
PV,DLinear,334,165.2870546753829,922.5824101796408,246,163.76288797364228,204.18507126271265,0.17915695427490214,165.2870546753829,True,B3,334,92.6292985458,922.58241018,246,125.183057491,129.798702933,0.100402194453,92.6292985458,True,-72.6577561295829,-78.43928138315515,horizon,,39.0,
PV,DLinear,334,175.4362743350131,1136.0352023952096,310,165.78716019527573,223.39062737631568,0.154428554647888,175.4362743350131,True,B3,334,110.018741916,1136.0352024,310,118.188327696,150.842750565,0.0968444830618,110.018741916,True,-65.41753241901311,-59.460353099619894,horizon,,40.0,
PV,DLinear,334,180.74153975602775,1374.1298443113774,302,194.76512022281787,233.83579999887385,0.13153163109313254,180.74153975602775,True,B3,334,123.761945381,1374.12984431,302,136.802908656,165.733133831,0.0900656847626,123.761945381,True,-56.979594375027744,-46.039672533925184,horizon,,41.0,
PV,DLinear,334,194.5017719499563,1636.9087949101795,314,198.814733650793,243.81633471315874,0.11882260792705253,194.5017719499563,True,B3,334,140.060398845,1636.90879491,314,148.867066652,185.67708801,0.0855639601184,140.060398845,True,-54.441373104956284,-38.86992579908662,horizon,,42.0,
