series,model,forecast_date,fit_predict_seconds,selected_observations
PV,B3,2025-04-13,0.011827199996332638,1008
PV,B4,2025-04-13,0.012552400003187358,2016
Load,B0,2025-04-14,0.010062500005005859,1
Load,B1,2025-04-14,0.011016299991752021,144
Load,B2,2025-04-14,0.010514399997191504,144
Load,B3,2025-04-14,0.011275700002443045,1008
Load,B4,2025-04-14,0.012369899995974265,2016
PV,B0,2025-04-14,0.009746199997607619,1
PV,B1,2025-04-14,0.011559900012798607,144
PV,B2,2025-04-14,0.010625199996866286,144
PV,B3,2025-04-14,0.010904800001299009,1008
PV,B4,2025-04-14,0.012040699992212467,2016
Load,B0,2025-04-15,0.010120399994775653,1
Load,B1,2025-04-15,0.010424599997350015,144
Load,B2,2025-04-15,0.010745999999926426,144
Load,B3,2025-04-15,0.010980799997923896,1008
Load,B4,2025-04-15,0.012348600008408539,2016
PV,B0,2025-04-15,0.0120974000019487,1
PV,B1,2025-04-15,0.012352399993687868,144
PV,B2,2025-04-15,0.010699100006604567,144
PV,B3,2025-04-15,0.014307200006442145,1008
PV,B4,2025-04-15,0.013124699995387346,2016
Load,B0,2025-04-16,0.009973699998226948,1
Load,B1,2025-04-16,0.010586599993985146,144
Load,B2,2025-04-16,0.01052229999913834,144
Load,B3,2025-04-16,0.011063400001148693,1008
Load,B4,2025-04-16,0.011897900010808371,2160
PV,B0,2025-04-16,0.009927400009473786,1
PV,B1,2025-04-16,0.010466399995493703,144
PV,B2,2025-04-16,0.011053099995478988,144
PV,B3,2025-04-16,0.010710000002291054,1008
PV,B4,2025-04-16,0.011808800001745112,2160
Load,B0,2025-04-17,0.010021800000686198,1
Load,B1,2025-04-17,0.01078820000111591,144
Load,B2,2025-04-17,0.010652199998730794,144
Load,B3,2025-04-17,0.011501199987833388,1008
Load,B4,2025-04-17,0.012299699999857694,2160
PV,B0,2025-04-17,0.00983779999660328,1
PV,B1,2025-04-17,0.012972500000614673,144
PV,B2,2025-04-17,0.01133359999221284,144
PV,B3,2025-04-17,0.011179799999808893,1008
PV,B4,2025-04-17,0.012133199998061173,2160
Load,B0,2025-04-18,0.011330900000757538,1
Load,B1,2025-04-18,0.010824099997989833,144
Load,B2,2025-04-18,0.011886600012076087,144
Load,B3,2025-04-18,0.013926500003435649,1008
Load,B4,2025-04-18,0.013127400001394562,2160
PV,B0,2025-04-18,0.010916900006122887,1
PV,B1,2025-04-18,0.011213800011319108,144
PV,B2,2025-04-18,0.011281300001428463,144
PV,B3,2025-04-18,0.011980099996435456,1008
PV,B4,2025-04-18,0.012529300001915544,2160
Load,B0,2025-04-19,0.012451599992346019,1
Load,B1,2025-04-19,0.010444999992614612,144
Load,B2,2025-04-19,0.010451499998453073,144
Load,B3,2025-04-19,0.011065800004871562,1008
Load,B4,2025-04-19,0.011884399995324202,2160
PV,B0,2025-04-19,0.010658999992301688,1
PV,B1,2025-04-19,0.010463099999469705,144
PV,B2,2025-04-19,0.010381300002336502,144
PV,B3,2025-04-19,0.011206399998627603,1008
PV,B4,2025-04-19,0.01274540000304114,2160
Load,B0,2025-04-20,0.010473700007423759,1
Load,B1,2025-04-20,0.011008299989043735,144
Load,B2,2025-04-20,0.011432600003900006,144
Load,B3,2025-04-20,0.011917399999219924,1008
Load,B4,2025-04-20,0.012446599997929297,2160
PV,B0,2025-04-20,0.010982799998600967,1
PV,B1,2025-04-20,0.010974399992846884,144
PV,B2,2025-04-20,0.010748400003649294,144
PV,B3,2025-04-20,0.01133799999661278,1008
PV,B4,2025-04-20,0.012525199999799952,2160
Load,B0,2025-04-21,0.011202599998796359,1
Load,B1,2025-04-21,0.011926299994229339,144
Load,B2,2025-04-21,0.010458799995831214,144
Load,B3,2025-04-21,0.011675999994622543,1008
Load,B4,2025-04-21,0.012314099993091077,2160
PV,B0,2025-04-21,0.01113210000039544,1
PV,B1,2025-04-21,0.010668900009477511,144
PV,B2,2025-04-21,0.010559999995166436,144
PV,B3,2025-04-21,0.011255499994149432,1008
PV,B4,2025-04-21,0.012430899994797073,2160
Load,B0,2025-04-22,0.01005950001126621,1
Load,B1,2025-04-22,0.01134979999915231,144
Load,B2,2025-04-22,0.010776199997053482,144
Load,B3,2025-04-22,0.01095720000739675,1008
Load,B4,2025-04-22,0.012056999999913387,2160
PV,B0,2025-04-22,0.01027500000782311,1
PV,B1,2025-04-22,0.010487399995326996,144
PV,B2,2025-04-22,0.010763099999167025,144
PV,B3,2025-04-22,0.010998500001733191,1008
PV,B4,2025-04-22,0.012038300003041513,2160
Load,B0,2025-04-23,0.010187700012465939,1
Load,B1,2025-04-23,0.011741299997083843,144
Load,B2,2025-04-23,0.01304119999986142,144
Load,B3,2025-04-23,0.011145299999043345,1008
Load,B4,2025-04-23,0.012882299997727387,2304
PV,B0,2025-04-23,0.010224400000879541,1
PV,B1,2025-04-23,0.010676100006094202,144
PV,B2,2025-04-23,0.01148240000475198,144
PV,B3,2025-04-23,0.011193800004548393,1008
PV,B4,2025-04-23,0.01241519999166485,2304
Load,B0,2025-04-24,0.011698600006639026,1
Load,B1,2025-04-24,0.013367599996854551,144
Load,B2,2025-04-24,0.013927799998782575,144
Load,B3,2025-04-24,0.012560999995912425,1008
Load,B4,2025-04-24,0.01417310000397265,2304
PV,B0,2025-04-24,0.012468800006899983,1
PV,B1,2025-04-24,0.012124999993829988,144
PV,B2,2025-04-24,0.011128300000564195,144
PV,B3,2025-04-24,0.011708099991665222,1008
PV,B4,2025-04-24,0.013096099995891564,2304
Load,B0,2025-04-25,0.011501499990117736,1
Load,B1,2025-04-25,0.01087270000425633,144
Load,B2,2025-04-25,0.010944699999527074,144
Load,B3,2025-04-25,0.012119299994083121,1008
Load,B4,2025-04-25,0.013672500004759058,2304
PV,B0,2025-04-25,0.011041599995223805,1
PV,B1,2025-04-25,0.011442400005762465,144
PV,B2,2025-04-25,0.011456299995188601,144
PV,B3,2025-04-25,0.0115728999953717,1008
PV,B4,2025-04-25,0.013417599999229424,2304
Load,B0,2025-04-26,0.011665799989714287,1
Load,B1,2025-04-26,0.010961199994198978,144
Load,B2,2025-04-26,0.012548999991849996,144
Load,B3,2025-04-26,0.011469899996882305,1008
Load,B4,2025-04-26,0.013032500006374903,2304
PV,B0,2025-04-26,0.010945500005618669,1
PV,B1,2025-04-26,0.013206699994043447,144
PV,B2,2025-04-26,0.011418699999921955,144
PV,B3,2025-04-26,0.012456500000553206,1008
PV,B4,2025-04-26,0.013097200004267506,2304
Load,B0,2025-04-27,0.010618900007102638,1
Load,B1,2025-04-27,0.01148990000365302,144
Load,B2,2025-04-27,0.010884200004511513,144
Load,B3,2025-04-27,0.011284600012004375,1008
Load,B4,2025-04-27,0.013645300001371652,2304
PV,B0,2025-04-27,0.010309099990990944,1
PV,B1,2025-04-27,0.011133499996503815,144
PV,B2,2025-04-27,0.010850999999092892,144
PV,B3,2025-04-27,0.012086100003216416,1008
PV,B4,2025-04-27,0.012916100007714704,2304
Load,B0,2025-04-28,0.010780199998407625,1
Load,B1,2025-04-28,0.011265799999819137,144
Load,B2,2025-04-28,0.011373000001185574,144
Load,B3,2025-04-28,0.012618900000234134,1008
Load,B4,2025-04-28,0.013074699993012473,2304
PV,B0,2025-04-28,0.010424599997350015,1
PV,B1,2025-04-28,0.011248099996009842,144
PV,B2,2025-04-28,0.011022499995306134,144
PV,B3,2025-04-28,0.012560999995912425,1008
PV,B4,2025-04-28,0.012524899997515604,2304
Load,B0,2025-04-29,0.011166299998876639,1
Load,B1,2025-04-29,0.011490300006698817,144
Load,B2,2025-04-29,0.011945200007176027,144
Load,B3,2025-04-29,0.011566000001039356,1008
Load,B4,2025-04-29,0.01275659998646006,2304
PV,B0,2025-04-29,0.011762599999201484,1
PV,B1,2025-04-29,0.013738599998760037,144
PV,B2,2025-04-29,0.012323800008744001,144
PV,B3,2025-04-29,0.012323400005698204,1008
PV,B4,2025-04-29,0.013107999999192543,2304
Load,B0,2025-04-30,0.010735899995779619,1
Load,B1,2025-04-30,0.011683599994285032,144
Load,B2,2025-04-30,0.011260699990089051,144
Load,B3,2025-04-30,0.01181890000589192,1008
Load,B4,2025-04-30,0.0141418999992311,2448
PV,B0,2025-04-30,0.012211599998408929,1
PV,B1,2025-04-30,0.011911300010979176,144
PV,B2,2025-04-30,0.011698999995132908,144
PV,B3,2025-04-30,0.012101200001779944,1008
PV,B4,2025-04-30,0.013809399999445304,2448
Load,B0,2025-05-01,0.010555900007602759,1
Load,B1,2025-05-01,0.012318300010520034,144
Load,B2,2025-05-01,0.012380600004689768,144
Load,B3,2025-05-01,0.012487400003010407,1008
Load,B4,2025-05-01,0.013926799991168082,2448
PV,B0,2025-05-01,0.01134759999695234,1
PV,B1,2025-05-01,0.012248500002897345,144
PV,B2,2025-05-01,0.011704999997164123,144
PV,B3,2025-05-01,0.011900500001502223,1008
PV,B4,2025-05-01,0.013280900006066076,2448
Load,B0,2025-05-02,0.014175499993143603,1
Load,B1,2025-05-02,0.013392900000326335,144
Load,B2,2025-05-02,0.011376099995686673,144
Load,B3,2025-05-02,0.011687500009429641,1008
Load,B4,2025-05-02,0.013416400004643947,2448
PV,B0,2025-05-02,0.011766600000555627,1
PV,B1,2025-05-02,0.011945999998715706,144
PV,B2,2025-05-02,0.01264860000810586,144
PV,B3,2025-05-02,0.012858400004915893,1008
PV,B4,2025-05-02,0.013681500000529923,2448
Load,B0,2025-05-03,0.011822800006484613,1
Load,B1,2025-05-03,0.012706599998637103,144
Load,B2,2025-05-03,0.011687299993354827,144
Load,B3,2025-05-03,0.013087400002405047,1008
Load,B4,2025-05-03,0.013765999989118427,2448
PV,B0,2025-05-03,0.011039999997592531,1
PV,B1,2025-05-03,0.012056100007612258,144
PV,B2,2025-05-03,0.013247800001408905,144
PV,B3,2025-05-03,0.012283400006708689,1008
PV,B4,2025-05-03,0.013168899997253902,2448
Load,B0,2025-05-04,0.010981300001731142,1
Load,B1,2025-05-04,0.011602300000959076,144
Load,B2,2025-05-04,0.012861499999416992,144
Load,B3,2025-05-04,0.011953299996093847,1008
Load,B4,2025-05-04,0.012979899998754263,2448
PV,B0,2025-05-04,0.010788499988848343,1
PV,B1,2025-05-04,0.011490300006698817,144
PV,B2,2025-05-04,0.011459999994258396,144
PV,B3,2025-05-04,0.01197199999296572,1008
PV,B4,2025-05-04,0.012950799995451234,2448
Load,B0,2025-05-05,0.011186899995664135,1
Load,B1,2025-05-05,0.011593200004426762,144
Load,B2,2025-05-05,0.011368200008291751,144
Load,B3,2025-05-05,0.011538399994606152,1008
Load,B4,2025-05-05,0.013410899991868064,2448
PV,B0,2025-05-05,0.010962600004859269,1
PV,B1,2025-05-05,0.011456200008979067,144
PV,B2,2025-05-05,0.01254180000978522,144
PV,B3,2025-05-05,0.011880399993970059,1008
PV,B4,2025-05-05,0.013315999996848404,2448
Load,B0,2025-05-06,0.010810799998580478,1
Load,B1,2025-05-06,0.01180769999336917,144
Load,B2,2025-05-06,0.014218599986634217,144
Load,B3,2025-05-06,0.013980699994135648,1008
Load,B4,2025-05-06,0.01465539999480825,2448
PV,B0,2025-05-06,0.011952300003031269,1
PV,B1,2025-05-06,0.012372199998935685,144
PV,B2,2025-05-06,0.012446499997167848,144
PV,B3,2025-05-06,0.013028200002736412,1008
PV,B4,2025-05-06,0.01690430000599008,2448
Load,B0,2025-05-07,0.01143130000855308,1
Load,B1,2025-05-07,0.011520700005348772,144
Load,B2,2025-05-07,0.012384100002236664,144
Load,B3,2025-05-07,0.012539300005300902,1008
Load,B4,2025-05-07,0.01325810000707861,2592
PV,B0,2025-05-07,0.011114099994301796,1
PV,B1,2025-05-07,0.01398779998999089,144
PV,B2,2025-05-07,0.013543399996706285,144
PV,B3,2025-05-07,0.013589299996965565,1008
PV,B4,2025-05-07,0.014028100005816668,2592
Load,B0,2025-05-08,0.012433900003088638,1
Load,B1,2025-05-08,0.011930100008612499,144
Load,B2,2025-05-08,0.011554800003068522,144
Load,B3,2025-05-08,0.01228619999892544,1008
Load,B4,2025-05-08,0.013606499996967614,2592
PV,B0,2025-05-08,0.012066499999491498,1
PV,B1,2025-05-08,0.011670800013234839,144
PV,B2,2025-05-08,0.012983799999346957,144
